Count,Name,Year,Price
1,NB-Numismatics,Germany Saxony Otto III pfennig,US$249.00
2,NB-Numismatics,Crusader Antioch Raymond Roupen AR denier,US$159.00
3,Denarius Ringsrud,"Norway, 24 skilling 1846","NOK3,750.00"
4,Denarius Ringsrud,"Greenland, 1 krone 1926",NOK200.00
5,Forum Ancient Coins,Brandenburg-Preussen Friedrich II 1440-1470 Hohlpfennig Bracteate 0.341g,US$102.00
6,NB-Numismatics,France 10 francs 1968- Hercules,US$40.00
7,NB-Numismatics,Italy Messina Corrado I BI denaro,US$35.00
8,NB-Numismatics,Islamic Seljuks Rum Ghiyath al-Din Kay Khusraw I bin Qilich Arslan AE fals,US$59.00
9,NB-Numismatics,Austrian Netherlands Brabant Maria-Theresia 1/2 kroon (couronne) 1765,US$119.00
10,Carthago Numismatics,"Suleiman I the magnificent (1520-1566) 1 Sultani AH929, AD1520 Gold 3,47g. .",€440.00
11,Sovereign Rarities,"India, Victoria, gold Mohur, 1841 C, AU Details.","£3,098.00"
12,Sovereign Rarities,Commonwealth silver Penny,£210.00
13,Sovereign Rarities,"William I Penny, Profile Right type, London Mint, Aelfwine","£1,313.00"
14,Sovereign Rarities,"Edward the Confessor, facing bust Penny, Wallingford, Burewine",£893.00
15,Sovereign Rarities,"Scotland, Alexander III Halfpenny, second coinage, Berwick Mint, star mullet rev.",£788.00
16,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type 3, Berwick Mint, moneyer William",£394.00
17,Sovereign Rarities,"Scotland, Alexander III Halfpenny, second coinage, two mullets of 6 points",£446.00
18,Sovereign Rarities,George III 1820 Sovereign with open 2 in date MS62,"£6,825.00"
19,Sovereign Rarities,"George III 1800 Third-Guinea, first type with first head and reverse",£788.00
20,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type VII, Perth Mint, Ion Cokin",£499.00
21,Thomas Numismatics,Louis XV Ecu - aux branches d'olivier - 1731 T Nantes R2,€90.00
22,Sovereign Rarities,* Elizabeth II 2007 proof Sovereign,£536.00
23,Sovereign Rarities,"Chingiz Khan, Silver Dirham.","£1,045.00"
24,Sovereign Rarities,Elizabeth II 1966 Gillick Sovereign MS64,£735.00
25,Sovereign Rarities,Elizabeth II 1959 Gillick Sovereign MS64,£499.00
26,Sovereign Rarities,Elizabeth II 1958 Gillick Sovereign MS65+,£945.00
27,Sovereign Rarities,Elizabeth II 2002 proof Sovereign,£919.00
28,Sovereign Rarities,* Elizabeth II 2015 proof Sovereign JC,£683.00
29,Sovereign Rarities,"George III 1817 Sovereign, first year of issue","£2,363.00"
30,Sovereign Rarities,"Scotland, Alexander III Farthing, second coinage",£788.00
31,Sovereign Rarities,"Scotland, Alexander II (in name of William) Short Cross Penny, Roxburgh, Peris and Adam","£1,838.00"
32,Sovereign Rarities,"Edward IV Half-Angel, second reign, mintmark pierced cross and pellet","£4,148.00"
33,Sovereign Rarities,"John Penny, Short Cross type, Kings Lynn Mint, moneyer Iohan",£730.00
34,Sphinx Numismatics,"414EM22) RARE ZANGIDS OF SYRIA, Al-Salih Isma'il, 569-577 AH / 1174-1181 AD, AR Dirham, 22.5 mm, 2.91 grms, struck at HALAB, in 573 AH, Type of Album 1852 (R); in XF cond. Superb",US$125.00
35,Sovereign Rarities,George V 1927 6-coin silver proof Set with red card case,£998.00
